Year,Status,Award,Media,Media2,Name,Url
2003,finalist,"General Excellence in Online Journalism, Affiliated, Small",Frontline/World,,Frontline/World,http://www.pbs.org/frontlineworld/
2003,winner,"General Excellence in Online Journalism, Independent, Large",BeliefNet,,BeliefNet,http://beliefnet.com/
2003,finalist,"General Excellence in Online Journalism, Independent, Large",Slate,,Slate,http://slate.msn.com/
2003,finalist,"General Excellence in Online Journalism, Independent, Large",Space.com,,Space.com,http://www.space.com/
2003,winner,"General Excellence in Online Journalism, Independent, Small",Gotham Gazette,,Gotham Gazette,http://www.gothamgazette.com/
2003,finalist,"General Excellence in Online Journalism, Independent, Small",Center for Public Integrity,,Center for Public Integrity,http://www.publicintegrity.org/
2003,finalist,"General Excellence in Online Journalism, Independent, Small",VillageSoup.com,,VillageSoup.com,http://www.villagesoup.com/
2003,winner,"Service Journalism, Affiliated",CBC News,,Coverage of SARS,http://www.cbc.ca/news/background/sars/
2003,finalist,"Service Journalism, Affiliated",MSN Money,,Decision Centers,http://money.msn.com/articles/specials/DC_promo.asp
2003,finalist,"Service Journalism, Affiliated",ConsumerWebWatch.org,,Spyware Everywhere,http://www.consumerwebwatch.org/news/articles/spyware.htm
2003,winner,"Service Journalism, Independent",WebMD,,Health in Hard Times,http://my.webmd.com/content/article/62/71769.htm?lastselectedguid={5FE84E90-BC77-4056-A91C-9531713CA348
2003,finalist,"Service Journalism, Independent",Salon,,Since You Asked,http://dir.salon.com/topics/cary_tennis/index.html
2003,finalist,"Service Journalism, Independent",Council on Foreign Relations,,The Source for Ideas and Information,http://www.cfr.org/thesource
2003,finalist,"Service Journalism, Independent",Gotham Gazette,,Community Gazettes,http://www.gothamgazette.com/community
2004,winner,Best Student Journalism,University of North Carolina,,Chiloe Stories,http://www.chiloestories.org/home.html
2004,finalist,Best Student Journalism,USC Annenberg School for Communication,,Making it in LA,http://www-scf.usc.edu/~jour556/
2004,finalist,Best Student Journalism,Ball State University,,Friendship Stories,http://www.nonlinearstory.com/
2004,finalist,Best Student Journalism,University of North Carolina,,South Africa: 10 Years On,http://www.tenyearson.org/
2004,winner,Best Student Web site,Arizona State University,,WebDevil,http://www.asuwebdevil.com/
2004,finalist,Best Student Web site,Ball State University,,NewsLink Indiana,http://www.newslinkindiana.com/
2004,winner,"Breaking News, Large",NBC4i.com,,Columbus serial shootings,http://www.nbc4i.com/serialshootings/index.html
